party,electorate,first_name,last_name,twitter_url,gender,tweet_id,created_at,retrieved_at,user_id,username,text,retweeted_tweet_id,retweeted_user_id,retweeted_user_name,in_reply_to_tweet_id,in_reply_to_user_id,in_reply_to_user_name,quoted_tweet_id,quoted_user_id,quoted_user_name,theme_claude
Queensland Labor,Ferny Grove,Mark,Furner,https://twitter.com/markfurnermp,M,1317994671696572417,2020-10-19T01:03:11.000000+0000,2020-10-19 02:54:31.000 +0000,832359338979184640,MarkFurnerMP,"@MpPerrett @DebFrecklington @LNPQLD @AgForceQLD @QldFarmers When @DebFrecklington was Campbell Newman’s assistant minister she helped cut 600 jobs from agriculture and fisheries, including cuts to Biosecurity Qld. Now they plan to cut 30,000+ jobs to get a surplus in four years. Now is not the time to risk @LNPQLD cuts #qldpol #QLDvotes",,,,1317989713194610690,1065395174518382593,MpPerrett,,,,cuts
N/A (Independent),Miller,Edward,Carroll,https://twitter.com/edwardian_times,M,1317952056833974272,2020-10-18T22:13:51.000000+0000,2020-10-19 08:45:19.000 +0000,2854730388,edwardian_times,"Before the GFC, #Queensland had a great #gamesdesign industry. I don't know why I am the only candidate supporting this, but I am proud to stand for the thousands of jobs a strong gaming industry will support. #qldpol #QLDvotes #gamedev #gamingcommunity https://t.co/HGvTDUmvKF",,,,,,,,,,promise
Queensland Labor,Waterford,Shannon,Fentiman,https://twitter.com/ShannonFentiman,F,1318003750573797376,2020-10-19T01:39:16.000000+0000,2020-10-19 05:05:05.000 +0000,2186029770,ShannonFentiman,"JUST ANNOUNCED:

A re-elected Palaszczuk Gov will deliver a $140 million small business strategy to help our Queensland small businesses recover from the COVID-19 pandemic. 

Our plan for economic recovery is all about backing local businesses to create more local jobs.
#qldpol https://t.co/TvPLpwA7tk",,,,,,,,,,promise
Queensland Labor,Waterford,Shannon,Fentiman,https://twitter.com/ShannonFentiman,F,1318003753849479168,2020-10-19T01:39:16.000000+0000,2020-10-19 05:05:05.000 +0000,2186029770,ShannonFentiman,"✔️$10 million to make it easier to do small business in Queensland by permanently appointing a Small Business Commissioner.
✔️$100 million for the Business Investment Fund to assist growing SME’s to create more jobs.

#qldpol #SmallBiz #qldvotes",,,,1318003752465354752,2186029770,ShannonFentiman,,,,promise
Queensland Labor,Miller,Mark,Bailey,https://twitter.com/MarkBaileyMP,M,1318025081868615681,2020-10-19T03:04:01.000000+0000,2020-10-19 22:56:17.000 +0000,984808496,MarkBaileyMP,"Miller @LNPQLD are so ashamed of @DebFrecklington as their leader they have left her off their How To Vote cards.

A picture of a fistful of banknotes 🙄but nothing about their reckless rush to surplus &amp; the 30,000 job cuts that goes with a Frecklington-One Nation - Clive Govt https://t.co/LmMZiz2z0w",,,,,,,,,,cuts
Liberal National,Nanango,Deb,Frecklington,https://twitter.com/DebFrecklington,F,1319448489093287936,2020-10-23T01:20:08.000000+0000,2020-10-23 09:42:00.000 +0000,632577753,DebFrecklington,"The @LNPQLD will create an additional 1,500 local jobs with our $20 million investment with the Gold Coast City Marina and Shipyard to deliver a $108 million new marine maintenance facility. #qldpol https://t.co/3JSmSirFv4",,,,,,,,,,promise
Queensland Labor,Woodridge,Cameron,Dick,https://twitter.com/camerondickqld,M,1317945938904707073,2020-10-18T21:49:32.000000+0000,2020-10-19 08:05:17.000 +0000,236818401,camerondickqld,"And how will you pay for the billions in promises AND deliver a budget surplus, @DebFrecklington - by cutting 30,000 jobs and essential services ... ✂️ ✂️ ✂️ 

@NewsTalk4BC @breenie9",,,,,,,,,,cuts
Queensland Labor,Woodridge,Cameron,Dick,https://twitter.com/camerondickqld,M,1318010264332062720,2020-10-19T02:05:09.000000+0000,2020-10-19 08:05:17.000 +0000,236818401,camerondickqld,"@SenatorRennick @DrAnthonyLynham @AnnastaciaMP Nice one airbrush @CampbellNewman out of history altogether along with the 14,000 workers he sacked including 4,000 health workers and 1,800 nurses and midwives. 30,000 jobs to go in @DebFrecklington’s reckless rush to surplus in four years. #DontTrustDeb",,,,1318003009746391041,1068013130033201152,SenatorRennick,,,,cuts
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317981179774074880,2020-10-19T00:09:34.000000+0000,2020-10-19 13:15:37.000 +0000,256833444,AnnastaciaMP,"A re-elected Palaszczuk Government will deliver a $140 million Small Business Strategy to help regional exporters expand and develop their markets.

Queensland’s plan for economic recovery backs our small businesses so they can grow and create jobs.

#qldjobs https://t.co/vMh5CcDFW2",,,,,,,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1318007669244874753,2020-10-19T01:54:50.000000+0000,2020-10-19 13:15:37.000 +0000,256833444,AnnastaciaMP,We dropped in on Graham's Natural Alternatives on the Gold Coast today to talk about how a re-elected Palaszczuk Government will help them expand their markets and create even more jobs through our $140 million Small Business Strategy. https://t.co/EwAH7XUxTE,,,,,,,,,,promise
