tweet_id,text,theme.fable,theme.corrected
1317994671696572417,"@MpPerrett @DebFrecklington @LNPQLD @AgForceQLD @QldFarmers When @DebFrecklington was Campbell Newman’s assistant minister she helped cut 600 jobs from agriculture and fisheries, including cuts to Biosecurity Qld. Now they plan to cut 30,000+ jobs to get a surplus in four years. Now is not the time to risk @LNPQLD cuts #qldpol #QLDvotes",cuts,
1317952056833974272,"Before the GFC, #Queensland had a great #gamesdesign industry. I don't know why I am the only candidate supporting this, but I am proud to stand for the thousands of jobs a strong gaming industry will support. #qldpol #QLDvotes #gamedev #gamingcommunity https://t.co/HGvTDUmvKF",promise,
1318003750573797376,"JUST ANNOUNCED:

A re-elected Palaszczuk Gov will deliver a $140 million small business strategy to help our Queensland small businesses recover from the COVID-19 pandemic. 

Our plan for economic recovery is all about backing local businesses to create more local jobs.
#qldpol https://t.co/TvPLpwA7tk",promise,
1318003753849479168,"✔️$10 million to make it easier to do small business in Queensland by permanently appointing a Small Business Commissioner.
✔️$100 million for the Business Investment Fund to assist growing SME’s to create more jobs.

#qldpol #SmallBiz #qldvotes",promise,
1318025081868615681,"Miller @LNPQLD are so ashamed of @DebFrecklington as their leader they have left her off their How To Vote cards.

A picture of a fistful of banknotes 🙄but nothing about their reckless rush to surplus &amp; the 30,000 job cuts that goes with a Frecklington-One Nation - Clive Govt https://t.co/LmMZiz2z0w",cuts,
1319448489093287936,"The @LNPQLD will create an additional 1,500 local jobs with our $20 million investment with the Gold Coast City Marina and Shipyard to deliver a $108 million new marine maintenance facility. #qldpol https://t.co/3JSmSirFv4",promise,
1317945938904707073,"And how will you pay for the billions in promises AND deliver a budget surplus, @DebFrecklington - by cutting 30,000 jobs and essential services ... ✂️ ✂️ ✂️ 

@NewsTalk4BC @breenie9",cuts,
1318010264332062720,"@SenatorRennick @DrAnthonyLynham @AnnastaciaMP Nice one airbrush @CampbellNewman out of history altogether along with the 14,000 workers he sacked including 4,000 health workers and 1,800 nurses and midwives. 30,000 jobs to go in @DebFrecklington’s reckless rush to surplus in four years. #DontTrustDeb",cuts,
1317981179774074880,"A re-elected Palaszczuk Government will deliver a $140 million Small Business Strategy to help regional exporters expand and develop their markets.

Queensland’s plan for economic recovery backs our small businesses so they can grow and create jobs.

#qldjobs https://t.co/vMh5CcDFW2",promise,
1318007669244874753,We dropped in on Graham's Natural Alternatives on the Gold Coast today to talk about how a re-elected Palaszczuk Government will help them expand their markets and create even more jobs through our $140 million Small Business Strategy. https://t.co/EwAH7XUxTE,promise,
1318007671388135424,Queensland’s economic recovery plan has a laser-like focus on small businesses and we’re going to support them as they grow and create jobs.,promise,
1319435411152723969,"Our ambos support Queenslanders, and we’re supporting our ambos with $31 million for new and replacement ambulance stations across Queensland if re-elected.

It will also boost local jobs and businesses, supporting 86 full time equivalent construction jobs. https://t.co/kLBJTnYcWs",promise,
1317787076151156736,"Early voting starts tomorrow at the Cairns Showgrounds, friends.

Please vote For Cairns.
For Education.
For Health.
For the Hospital.
For the Arts.
For the Environment.
For Small Business.
For Jobs.
For the Community.
For All Of Us.

Please VOTE 1 HEALY FOR CAIRNS https://t.co/0bdyUleGQV",other,
1317648719987175424,"Queensland - I can’t thank you enough.

We had a call to arms and you answered it.

And because of that, our economy is opening up.

We can focus on supporting and creating the jobs that will keep us moving forward.

#teamqld #qldvotes https://t.co/w7pXqrYOH2",promise,
1317707734024966144,"I will always do the right thing by Queensland and today it was terrific to launch Labor’s campaign for 2020.

We’ve made major commitments on education, training for our under 25s, manufacturing and TAFE.

We have a plan that’s focused on jobs, jobs and more jobs.

#qldjobs https://t.co/z4QSuWWI90",promise,
